species	lineage	count
Vitis_labrusca	GALADRIEL	14
Benincasa_hispida	ORYCO/IVANA	14
Boswellia_sacra	ORYCO/IVANA	14
Boswellia_sacra	GALADRIEL	14
Dioscorea_zingiberensis	CRM	14
Rhizophora_apiculata	CRM	14
Musa_schizocarpa	GALADRIEL	14
Nymphaea_colorata	REINA	14
Brassica_napus	SIRE	14
Citrus_clementina	REINA	14
Coffea_canephora	BIANCA	14
Mimulus_guttatus	CRM	14
Citrullus_lanatus	REINA	14
Elaeis_oleifera	ANGELA	14
Spirodela_polyrhiza	ORYCO/IVANA	14
Coffea_canephora	ORYCO/IVANA	14
Capsicum_annuum	ORYCO/IVANA	14
Fragaria_vesca	GALADRIEL	13
Fragaria_vesca	REINA	13
Durio_zibethinus	TAT	13
Handroanthus_impetiginosus	ATHILA	13
Boehmeria_nivea	CRM	13
Pterocarya_stenoptera	DEL/TEKAY	13
Platycodon_grandiflorus	ATHILA	13
Lindernia_brevidens	ATHILA	13
Eucalyptus_pauciflora	GALADRIEL	13
Striga_asiatica	ORYCO/IVANA	13
Zostera_marina	TORK/TAR	13
Musa_acuminata	GALADRIEL	13
Tarenaya_hassleriana	CRM	13
Panicum_virgatum	ORYCO/IVANA	13
Beta_vulgaris	ANGELA	13
Cajanus_cajan	BIANCA	13
Lycopersicon_esculentum	REINA	13
Saccharum_hybrid_cultivar_R570	TAT	12
Gossypium_raimondii	ATHILA	12
Arachis_ipaensis	ORYCO/IVANA	12
Arabis_alpina	TAT	12
Arabis_alpina	ATHILA	12
Punica_granatum	CRM	12
Fagopyrum_tataricum	BIANCA	12
Pterocarya_stenoptera	ORYCO/IVANA	12
Pterocarya_stenoptera	ATHILA	12
Camellia_sinensis_var_sinensis	REINA	12
Camellia_sinensis_var_sinensis	GALADRIEL	12
Rosa_lucieae	SIRE	12
Oenanthe_javanica	SIRE	12
Avicennia_marina_subsp_marina	ALE/RETROFIT	12
Musa_schizocarpa	DEL/TEKAY	12
Dorcoceras_hygrometricum	SIRE	12
Rhazya_stricta	TORK/TAR	12
Mimulus_guttatus	BIANCA	12
Hevea_brasiliensis	ORYCO/IVANA	12
Aquilegia_coerulea	TAT	12
Ananas_comosus	TAT	12
Panicum_virgatum	SIRE	12
Actinidia_deliciosa	REINA	12
Erigeron_canadensis	ALE/RETROFIT	12
Solanum_melongena	TORK/TAR	12
Nicotiana_sylvestris	BIANCA	12
Picea_abies	REINA	11
Medicago_truncatula	ATHILA	11
Vitis_vinifera	ANGELA	11
Solanum_tuberosum	GALADRIEL	11
Schrenkiella_parvula	ORYCO/IVANA	11
Ricinus_communis	GALADRIEL	11
Eucalyptus_camaldulensis	TORK/TAR	11
Prunus_persica	SIRE	11
Cephalotus_follicularis	REINA	11
Xerophyta_viscosa	TORK/TAR	11
Kalanchoe_fedtschenkoi	REINA	11
Boehmeria_nivea	ATHILA	11
Pterocarya_stenoptera	CRM	11
Begonia_fuchsioides	ATHILA	11
Argania_spinosa	SIRE	11
Camellia_sinensis_var_sinensis	ATHILA	11
Oryza_meyeriana_var_granulata	BIANCA	11
Persea_americana_var_drymifolia	BIANCA	11
Hypericum_perforatum	BIANCA	11
Dorcoceras_hygrometricum	ORYCO/IVANA	11
Chenopodium_pallidicaule	REINA	11
Populus_trychocarpa	TORK/TAR	11
Manihot_esculenta	ORYCO/IVANA	11
Citrus_sinensis	ORYCO/IVANA	11
Tarenaya_hassleriana	REINA	11
Phyllostachys_edulis	TORK/TAR	11
Fraxinus_excelsior	SIRE	11
Vitis_vinifera	CRM	10
Solanum_tuberosum	BIANCA	10
Phoenix_dactylifera	TORK/TAR	10
Nelumbo_nucifera	ATHILA	10
Arabidopsis_lyrata_subsp_lyrata	REINA	10
Pyrus_communis	TORK/TAR	10
Brassica_rapa	CRM	10
Triticum_aestivum	BIANCA	10
Punica_granatum	REINA	10
Eschscholzia_californica_subsp_californica	TAT	10
Datisca_glomerata	CRM	10
Argania_spinosa	CRM	10
Casuarina_equisetifolia_subsp_incana	ATHILA	10
Eucalyptus_pauciflora	CRM	10
Vitis_labrusca	REINA	10
Hydrangea_macrophylla	SIRE	10
Pontederia_paniculata	REINA	10
Drosera_capensis	TORK/TAR	10
Eucalyptus_grandis	GALADRIEL	10
Prunus_avium	TAT	10
Ricinus_communis	REINA	10
Tarenaya_hassleriana	ANGELA	10
Aethionema_arabicum	ORYCO/IVANA	10
Leavenworthia_alabamica	ORYCO/IVANA	10
Musa_acuminata	TAT	10
Capsicum_annuum	SIRE	10
Fraxinus_excelsior	CRM	10
Cajanus_cajan	ATHILA	10
Cajanus_cajan	SIRE	10
Vitis_vinifera	DEL/TEKAY	9
Hordeum_vulgare	BIANCA	9
Prunus_persica	DEL/TEKAY	9
Phoenix_dactylifera	ALE/RETROFIT	9
Theobroma_cacao	GALADRIEL	9
Gossypium_raimondii	CRM	9
Theobroma_cacao	BIANCA	9
Nelumbo_nucifera	ANGELA	9
Morus_notabilis	TAT	9
Oryza_sativa	BIANCA	9
Arabis_alpina	REINA	9
Phalaenopsis_hybrid_cultivar	ATHILA	9
Macleaya_cordata	REINA	9
Platycodon_grandiflorus	SIRE	9
Persea_americana_var_drymifolia	ORYCO/IVANA	9
Striga_asiatica	SIRE	9
Vitis_labrusca	BIANCA	9
Aquilaria_sinensis	REINA	9
Aquilaria_sinensis	CRM	9
Solanum_clarkiae	GALADRIEL	9
Hydrangea_macrophylla	IKEROS	9
Simmondsia_chinensis	ALE/RETROFIT	9
Musa_schizocarpa	CRM	9
Nymphaea_colorata	ORYCO/IVANA	9
Nymphaea_colorata	GALADRIEL	9
Zostera_marina	CRM	9
Rhazya_stricta	ALE/RETROFIT	9
Citrus_clementina	ORYCO/IVANA	9
Populus_trychocarpa	ATHILA	9
Manihot_esculenta	REINA	9
Manihot_esculenta	TAT	9
Sisymbrium_irio	ORYCO/IVANA	9
Sisymbrium_irio	TORK/TAR	9
Phoenix_dactylifera	REINA	9
Elaeis_oleifera	CRM	9
Actinidia_deliciosa	SIRE	9
Solanum_melongena	SIRE	9
Arabidopsis_thaliana	ANGELA	8
Physcomitrella_patens	GALADRIEL	8
Solanum_tuberosum	TAT	8
Nelumbo_nucifera	CRM	8
Theobroma_cacao	ATHILA	8
Theobroma_cacao	ANGELA	8
Cephalotus_follicularis	CRM	8
Cephalotus_follicularis	GALADRIEL	8
Durio_zibethinus	ORYCO/IVANA	8
Durio_zibethinus	TORK/TAR	8
Selaginella_tamariscina	GALADRIEL	8
Datisca_glomerata	TAT	8
Lindernia_brevidens	ANGELA	8
Lindernia_brevidens	REINA	8
Striga_asiatica	CRM	8
Oenanthe_javanica	DEL/TEKAY	8
Toxicodendron_radicans	TORK/TAR	8
Vitis_labrusca	SIRE	8
Solanum_clarkiae	ORYCO/IVANA	8
Rhizophora_apiculata	ORYCO/IVANA	8
Carthamus_tinctorius	REINA	8
Chenopodium_pallidicaule	CRM	8
Sesamum_indicum	TAT	8
Hevea_brasiliensis	SIRE	8
Citrus_clementina	CRM	8
Aethionema_arabicum	ALE/RETROFIT	8
Elaeis_oleifera	REINA	8
Ananas_comosus	ALE/RETROFIT	8
Spirodela_polyrhiza	ALE/RETROFIT	8
Amborella_trichopoda	REINA	8
Solanum_melongena	GALADRIEL	8
Phoenix_dactylifera	ORYCO/IVANA	7
Saccharum_hybrid_cultivar_R570	ORYCO/IVANA	7
Fragaria_vesca	DEL/TEKAY	7
Fragaria_vesca	SIRE	7
Prunus_persica	REINA	7
Jatropha_curcas	TORK/TAR	7
Cicer_arietinum	ATHILA	7
Setaria_italica	SIRE	7
Pyrus_communis	ORYCO/IVANA	7
Xerophyta_viscosa	ANGELA	7
Macleaya_cordata	ATHILA	7
Macleaya_cordata	ANGELA	7
Eschscholzia_californica_subsp_californica	ATHILA	7
Eschscholzia_californica_subsp_californica	REINA	7
Eschscholzia_californica_subsp_californica	ANGELA	7
Fagopyrum_tataricum	GALADRIEL	7
Trichopus_zeylanicus_subsp_travancoricus	CRM	7
Persea_americana_var_drymifolia	TAT	7
Benincasa_hispida	GALADRIEL	7
Chenopodium_pallidicaule	SIRE	7
Drosera_capensis	GALADRIEL	7
Citrullus_lanatus	GALADRIEL	7
Manihot_esculenta	ATHILA	7
Citrus_clementina	DEL/TEKAY	7
Aethionema_arabicum	REINA	7
Eutrema_salsugineum	DEL/TEKAY	7
Sisymbrium_irio	CRM	7
Sisymbrium_irio	REINA	7
Sisymbrium_irio	SIRE	7
Spirodela_polyrhiza	ATHILA	7
Erigeron_canadensis	REINA	7
Utricularia_gibba	ORYCO/IVANA	7
Fraxinus_excelsior	ATHILA	7
Populus_trichocarpa	TORK/TAR	6
Selaginella_moellendorffii	TAT	6
Saccharum_hybrid_cultivar_R570	DEL/TEKAY	6
Saccharum_hybrid_cultivar_R570	ALE/RETROFIT	6
Schrenkiella_parvula	CRM	6
Pyrus_x_bretschneideri	TORK/TAR	6
Amborella_trichopoda	ORYCO/IVANA	6
Jatropha_curcas	ORYCO/IVANA	6
Linum_usitatissimum	SIRE	6
Morus_notabilis	DEL/TEKAY	6
Prunus_persica	CRM	6
Brassica_rapa	SIRE	6
Artocarpus_camansi	ALE/RETROFIT	6
Xerophyta_viscosa	ATHILA	6
Phalaenopsis_hybrid_cultivar	ORYCO/IVANA	6
Handroanthus_impetiginosus	SIRE	6
Punica_granatum	TAT	6
Eschscholzia_californica_subsp_californica	GALADRIEL	6
Fagopyrum_tataricum	SIRE	6
Boehmeria_nivea	GALADRIEL	6
Boehmeria_nivea	SIRE	6
Fagus_sylvatica	ATHILA	6
Casuarina_equisetifolia_subsp_incana	CRM	6
Camellia_sinensis_var_sinensis	CRM	6
Lindernia_brevidens	TAT	6
Oryza_meyeriana_var_granulata	ANGELA	6
Rosa_lucieae	CRM	6
Persea_americana_var_drymifolia	REINA	6
Toxicodendron_radicans	TAT	6
Ulmus_americana	ALE/RETROFIT	6
Aquilaria_sinensis	SIRE	6
Solanum_clarkiae	REINA	6
Sonneratia_caseolaris	REINA	6
Corrigiola_litoralis	REINA	6
Nymphaea_colorata	TAT	6
Fraxinus_sp_1973_6204	TAT	6
Dorcoceras_hygrometricum	GALADRIEL	6
Pontederia_paniculata	ORYCO/IVANA	6
Cannabis_Sativa	GALADRIEL	6
Citrus_sinensis	GALADRIEL	6
Citrus_clementina	ANGELA	6
Nicotiana_sylvestris	GALADRIEL	6
Citrullus_lanatus	TORK/TAR	6
Manihot_esculenta	TORK/TAR	6
Citrus_clementina	GALADRIEL	6
Tarenaya_hassleriana	GALADRIEL	6
Tarenaya_hassleriana	SIRE	6
Musa_acuminata	CRM	6
Ananas_comosus	TORK/TAR	6
Phalaenopsis_equestris	TAT	6
Spirodela_polyrhiza	REINA	6
Solanum_melongena	ATHILA	6
Solanum_lycopersicum	CRM	6
Capsicum_annuum	BIANCA	6
Mimulus_guttatus	ORYCO/IVANA	6
Utricularia_gibba	TAT	6
Medicago_truncatula	CRM	6
Phaseolus_vulgaris	DEL/TEKAY	6
Oryza_sativa	ATHILA	5
Carica_papaya	CRM	5
Phoenix_dactylifera	CRM	5
Saccharum_hybrid_cultivar_R570	SIRE	5
Schrenkiella_parvula	ATHILA	5
Amborella_trichopoda	CRM	5
Lactuca_sativa	ALE/RETROFIT	5
Eucalyptus_camaldulensis	ORYCO/IVANA	5
Oryza_sativa	ANGELA	5
Pyrus_communis	BIANCA	5
Xerophyta_viscosa	ORYCO/IVANA	5
Phalaenopsis_hybrid_cultivar	GALADRIEL	5
Macleaya_cordata	SIRE	5
Durio_zibethinus	SIRE	5
Kalanchoe_fedtschenkoi	TORK/TAR	5
Handroanthus_impetiginosus	BIANCA	5
Eschscholzia_californica_subsp_californica	CRM	5
Eschscholzia_californica_subsp_californica	DEL/TEKAY	5
Fagopyrum_tataricum	REINA	5
Selaginella_tamariscina	ORYCO/IVANA	5
Platycodon_grandiflorus	ANGELA	5
Lindernia_brevidens	GALADRIEL	5
Solanum_clarkiae	SIRE	5
Dioscorea_zingiberensis	GALADRIEL	5
Macarthuria_australis	REINA	5
Cucumis_sativus	ALE/RETROFIT	5
Linum_usitatissimum	ATHILA	5
Citrus_sinensis	CRM	5
Carica_papaya	REINA	5
Tarenaya_hassleriana	BIANCA	5
Leavenworthia_alabamica	TORK/TAR	5
Musa_acuminata	ANGELA	5
Phalaenopsis_equestris	ATHILA	5
Spirodela_polyrhiza	GALADRIEL	5
Spirodela_polyrhiza	TORK/TAR	5
Actinidia_deliciosa	GALADRIEL	5
Utricularia_gibba	TORK/TAR	5
Lotus_japonicus	ATHILA	5
Oryza_sativa_Japonica_Group	ORYCO/IVANA	4
Oryza_sativa_Japonica_Group	ALE/RETROFIT	4
Oryza_sativa_Japonica_Group	REINA	4
Populus_trichocarpa	CRM	4
Populus_trichocarpa	ATHILA	4
Triticum_monococcum	ANGELA	4
Sorghum_bicolor	ANGELA	4
Brassica_rapa	TAT	4
Carica_papaya	TORK/TAR	4
Solanum_tuberosum	CRM	4
Saccharum_hybrid_cultivar_R570	REINA	4
Fragaria_vesca	ATHILA	4
Jatropha_curcas	ATHILA	4
Arachis_ipaensis	CRM	4
Arachis_ipaensis	GALADRIEL	4
Lactuca_sativa	ORYCO/IVANA	4
Arabidopsis_lyrata_subsp_lyrata	SIRE	4
Morus_notabilis	ATHILA	4
Pyrus_communis	ALE/RETROFIT	4
Asclepias_syriaca	GALADRIEL	4
Macleaya_cordata	ORYCO/IVANA	4
Punica_granatum	ORYCO/IVANA	4
Selaginella_tamariscina	TAT	4
Datisca_glomerata	REINA	4
Datisca_glomerata	ATHILA	4
Fagus_sylvatica	BIANCA	4
Fagus_sylvatica	ORYCO/IVANA	4
Platycodon_grandiflorus	REINA	4
Trichopus_zeylanicus_subsp_travancoricus	DEL/TEKAY	4
Trichopus_zeylanicus_subsp_travancoricus	ALE/RETROFIT	4
Rosa_lucieae	GALADRIEL	4
Eucalyptus_pauciflora	ANGELA	4
Persea_americana_var_drymifolia	DEL/TEKAY	4
Persea_americana_var_drymifolia	ANGELA	4
Oenanthe_javanica	GALADRIEL	4
Toxicodendron_radicans	ORYCO/IVANA	4
Vitis_labrusca	CRM	4
Hypericum_perforatum	TAT	4
Avicennia_marina_subsp_marina	CRM	4
Sonneratia_caseolaris	ALE/RETROFIT	4
Fraxinus_sp_1973_6204	TORK/TAR	4
Humulus_lupulus_var_lupulus	SIRE	4
Humulus_lupulus_var_lupulus	GALADRIEL	4
Mentha_longifolia	ALE/RETROFIT	4
Chenopodium_pallidicaule	ANGELA	4
Sesamum_indicum	REINA	4
Prunus_avium	BIANCA	4
Citrullus_lanatus	ORYCO/IVANA	4
Manihot_esculenta	GALADRIEL	4
Tarenaya_hassleriana	ATHILA	4
Leavenworthia_alabamica	ALE/RETROFIT	4
Aquilegia_coerulea	TORK/TAR	4
Elaeis_oleifera	SIRE	4
Musa_acuminata	ORYCO/IVANA	4
Panicum_virgatum	ANGELA	4
Spirodela_polyrhiza	CRM	4
Physcomitrella_patens	TAT	4
Solanum_melongena	ORYCO/IVANA	4
Solanum_melongena	REINA	4
Solanum_lycopersicum	IKEROS	4
Nicotiana_sylvestris	ORYCO/IVANA	4
Mimulus_guttatus	GALADRIEL	4
Fraxinus_excelsior	DEL/TEKAY	4
Medicago_truncatula	BIANCA	4
Cicer_arietinum	DEL/TEKAY	4
Gossypioides_kirkii	TAT	4
Lycopersicon_esculentum	CRM	4
Lycopersicon_esculentum	ANGELA	4
Populus_trichocarpa	TAT	3
Populus_trichocarpa	DEL/TEKAY	3
Hordeum_vulgare	CRM	3
Malus_domestica	ANGELA	3
Glycine_max	ANGELA	3
Saccharum_hybrid_cultivar_R570	TORK/TAR	3
Pyrus_x_bretschneideri	ATHILA	3
Jatropha_curcas	CRM	3
Jatropha_curcas	REINA	3
Jatropha_curcas	DEL/TEKAY	3
Arabidopsis_lyrata_subsp_lyrata	DEL/TEKAY	3
Prunus_persica	GALADRIEL	3
Morus_notabilis	SIRE	3
Morus_notabilis	ANGELA	3
Jatropha_curcas	SIRE	3
Morus_notabilis	ORYCO/IVANA	3
Arabis_alpina	CRM	3
Capsella_rubella	BIANCA	3
Capsella_rubella	TAT	3
Asclepias_syriaca	TAT	3
Artocarpus_camansi	TORK/TAR	3
Artocarpus_camansi	REINA	3
Xerophyta_viscosa	DEL/TEKAY	3
Phalaenopsis_hybrid_cultivar	TAT	3
Durio_zibethinus	DEL/TEKAY	3
Pereskia_humboldtii	ALE/RETROFIT	3
Viola_pubescens_var_scabriuscula	TAT	3
Santalum_album	ALE/RETROFIT	3
Fagopyrum_tataricum	ANGELA	3
Boehmeria_nivea	BIANCA	3
Camellia_sinensis_var_sinensis	ANGELA	3
Platycodon_grandiflorus	IKEROS	3
Rosa_lucieae	DEL/TEKAY	3
Oenanthe_javanica	ANGELA	3
Oenanthe_javanica	CRM	3
Anthoceros_angustus	DEL/TEKAY	3
Solanum_clarkiae	ATHILA	3
Benincasa_hispida	CRM	3
Benincasa_hispida	BIANCA	3
Benincasa_hispida	SIRE	3
Avicennia_marina_subsp_marina	ORYCO/IVANA	3
Rhizophora_apiculata	REINA	3
Rhizophora_apiculata	ALE/RETROFIT	3
Betula_pendula	IKEROS	3
Kewa_caespitosa	TORK/TAR	3
Kewa_caespitosa	ORYCO/IVANA	3
Musa_schizocarpa	ORYCO/IVANA	3
Nymphaea_colorata	IKEROS	3
Humulus_lupulus_var_lupulus	DEL/TEKAY	3
Humulus_lupulus_var_lupulus	ORYCO/IVANA	3
Carthamus_tinctorius	SIRE	3
Pontederia_paniculata	TORK/TAR	3
Chenopodium_pallidicaule	ORYCO/IVANA	3
Chenopodium_pallidicaule	GALADRIEL	3
Rhazya_stricta	GALADRIEL	3
Embelia_ribes	ALE/RETROFIT	3
Ipomoea_nil	IKEROS	3
Cannabis_Sativa	CRM	3
Cannabis_Sativa	IKEROS	3
Populus_trychocarpa	CRM	3
Ricinus_communis	SIRE	3
Ricinus_communis	TAT	3
Eucalyptus_grandis	ANGELA	3
Eucalyptus_grandis	CRM	3
Eutrema_salsugineum	ANGELA	3
Elaeis_oleifera	ATHILA	3
Elaeis_oleifera	GALADRIEL	3
Ananas_comosus	ORYCO/IVANA	3
Ananas_comosus	REINA	3
Panicum_virgatum	CRM	3
Phalaenopsis_equestris	ORYCO/IVANA	3
Erigeron_canadensis	ORYCO/IVANA	3
Coffea_canephora	ANGELA	3
Coffea_canephora	GALADRIEL	3
Solanum_melongena	BIANCA	3
Solanum_lycopersicum	ANGELA	3
Fraxinus_excelsior	IKEROS	3
Olea_europaea	BIANCA	3
Gossypioides_kirkii	ATHILA	3
Avena_sativa	ANGELA	2
Nicotiana_tabacum	TORK/TAR	2
Pinus_radiata	REINA	2
Triticum_monococcum	DEL/TEKAY	2
Oryza_sativa_Japonica_Group	CRM	2
Malus_domestica	CRM	2
Malus_domestica	SIRE	2
Pyrus_x_bretschneideri	REINA	2
Gossypium_raimondii	TAT	2
Gossypium_raimondii	GALADRIEL	2
Eucalyptus_camaldulensis	DEL/TEKAY	2
Eucalyptus_camaldulensis	GALADRIEL	2
Lactuca_sativa	REINA	2
Linum_usitatissimum	DEL/TEKAY	2
Eucalyptus_camaldulensis	SIRE	2
Gossypium_raimondii	TORK/TAR	2
Gossypium_raimondii	ORYCO/IVANA	2
Morus_notabilis	CRM	2
Morus_notabilis	GALADRIEL	2
Cicer_arietinum	CRM	2
Setaria_italica	ATHILA	2
Capsella_rubella	ORYCO/IVANA	2
Capsella_rubella	SIRE	2
Malus_domestica	GALADRIEL	2
Brassica_rapa	ATHILA	2
Asclepias_syriaca	ALE/RETROFIT	2
Asclepias_syriaca	ORYCO/IVANA	2
Phalaenopsis_hybrid_cultivar	CRM	2
Durio_zibethinus	REINA	2
Kalanchoe_fedtschenkoi	CRM	2
Kalanchoe_fedtschenkoi	GALADRIEL	2
Viola_pubescens_var_scabriuscula	CRM	2
Viola_pubescens_var_scabriuscula	REINA	2
Viola_pubescens_var_scabriuscula	ATHILA	2
Punica_granatum	GALADRIEL	2
Punica_granatum	ATHILA	2
Santalum_album	TORK/TAR	2
Boehmeria_nivea	ANGELA	2
Datisca_glomerata	DEL/TEKAY	2
Fagus_sylvatica	SIRE	2
Fagus_sylvatica	DEL/TEKAY	2
Casuarina_equisetifolia_subsp_incana	GALADRIEL	2
Eucalyptus_pauciflora	ATHILA	2
Persea_americana_var_drymifolia	SIRE	2
Anthoceros_angustus	ORYCO/IVANA	2
Zingiber_officinale	ALE/RETROFIT	2
Ceratopteris_richardii	ATHILA	2
Solanum_clarkiae	BIANCA	2
Boswellia_sacra	ATHILA	2
Avicennia_marina_subsp_marina	TORK/TAR	2
Sonneratia_caseolaris	TORK/TAR	2
Sonneratia_caseolaris	GALADRIEL	2
Betula_pendula	ORYCO/IVANA	2
Betula_pendula	DEL/TEKAY	2
Betula_pendula	SIRE	2
Microtea_debilis	REINA	2
Pharnaceum_exiguum	REINA	2
Nymphaea_colorata	CRM	2
Brassica_napus	GALADRIEL	2
Brassica_napus	ANGELA	2
Primula_veris	TORK/TAR	2
Humulus_lupulus_var_lupulus	CRM	2
Humulus_lupulus_var_lupulus	ATHILA	2
Carthamus_tinctorius	TORK/TAR	2
Carthamus_tinctorius	DEL/TEKAY	2
Carthamus_tinctorius	ORYCO/IVANA	2
Pontederia_paniculata	ATHILA	2
Rhazya_stricta	ORYCO/IVANA	2
Rhazya_stricta	REINA	2
Rhazya_stricta	DEL/TEKAY	2
Drosera_capensis	SIRE	2
Striga_asiatica	GALADRIEL	2
Citrus_sinensis	ANGELA	2
Cannabis_Sativa	ORYCO/IVANA	2
Malus_domestica	IKEROS	2
Citrullus_lanatus	DEL/TEKAY	2
Populus_trychocarpa	TAT	2
Linum_usitatissimum	REINA	2
Citrus_clementina	BIANCA	2
Aethionema_arabicum	BIANCA	2
Aethionema_arabicum	SIRE	2
Brassica_rapa	IKEROS	2
Aquilegia_coerulea	ORYCO/IVANA	2
Aquilegia_coerulea	SIRE	2
Musa_acuminata	DEL/TEKAY	2
Musa_acuminata	ALE/RETROFIT	2
Ananas_comosus	GALADRIEL	2
Panicum_virgatum	BIANCA	2
Eragrostis_tef	BIANCA	2
Eragrostis_tef	ORYCO/IVANA	2
Phalaenopsis_equestris	CRM	2
Phalaenopsis_equestris	GALADRIEL	2
Phalaenopsis_equestris	REINA	2
Physcomitrella_patens	TORK/TAR	2
Erigeron_canadensis	TAT	2
Solanum_melongena	CRM	2
Solanum_melongena	TAT	2
Solanum_tuberosum	ANGELA	2
Capsicum_annuum	IKEROS	2
Olea_europaea	GALADRIEL	2
Olea_europaea	IKEROS	2
Medicago_truncatula	ANGELA	2
Aegilops_speltoides	ANGELA	2
Lycopersicon_esculentum	IKEROS	2
Pennisetum_glaucum	SIRE	2
Pennisetum_glaucum	TAT	2
Oryza_longistaminata	ALE/RETROFIT	1
Oryza_australiensis	ANGELA	1
Solanum_chilense	TORK/TAR	1
Solanum_pimpinellifolium	ALE/RETROFIT	1
Solanum_pimpinellifolium	TORK/TAR	1
Pisum_sativum	DEL/TEKAY	1
Cucumis_melo	DEL/TEKAY	1
Oryza_sativa_Japonica_Group	TAT	1
Lotus_corniculatus	TAT	1
Lilium_henryi	DEL/TEKAY	1
Solanum_demissum	DEL/TEKAY	1
Oryza_sativa_Japonica_Group	TORK/TAR	1
Pinus_taeda	CRM	1
Pinus_taeda	SIRE	1
Pinus_taeda	TORK/TAR	1
Pisum_sativum	TAT	1
Lotus_corniculatus	SIRE	1
Triticum_monococcum	TAT	1
Zea_diploperennis	TAT	1
Physcomitrella_patens	BIANCA	1
Trifolium_repens	ALE/RETROFIT	1
Trifolium_repens	TAT	1
Vasconcellea_monoica	ORYCO/IVANA	1
Fragaria_vesca	CRM	1
Pyrus_x_bretschneideri	TAT	1
Pyrus_x_bretschneideri	DEL/TEKAY	1
Pyrus_x_bretschneideri	GALADRIEL	1
Jatropha_curcas	GALADRIEL	1
Gossypium_raimondii	REINA	1
Eucalyptus_camaldulensis	ATHILA	1
Jatropha_curcas	TAT	1
Eucalyptus_camaldulensis	CRM	1
Lactuca_sativa	TORK/TAR	1
Gossypium_raimondii	ANGELA	1
Eucalyptus_camaldulensis	BIANCA	1
Ricinus_communis	ANGELA	1
Eucalyptus_camaldulensis	ANGELA	1
Pinus_sylvestris	CRM	1
Setaria_italica	BIANCA	1
Schrenkiella_parvula	BIANCA	1
Arabis_alpina	SIRE	1
Capsella_rubella	ALE/RETROFIT	1
Capsella_rubella	CRM	1
Prunus_persica	ANGELA	1
Schrenkiella_parvula	GALADRIEL	1
Pyrus_communis	TAT	1
Capsella_rubella	REINA	1
Capsella_rubella	ATHILA	1
Capsella_rubella	TORK/TAR	1
Asclepias_syriaca	TORK/TAR	1
Xerophyta_viscosa	GALADRIEL	1
Xerophyta_viscosa	SIRE	1
Phalaenopsis_hybrid_cultivar	IKEROS	1
Macleaya_cordata	GALADRIEL	1
Macleaya_cordata	CRM	1
Macleaya_cordata	IKEROS	1
Durio_zibethinus	ANGELA	1
Kalanchoe_fedtschenkoi	ATHILA	1
Viola_pubescens_var_scabriuscula	TORK/TAR	1
Viola_pubescens_var_scabriuscula	ALE/RETROFIT	1
Handroanthus_impetiginosus	GALADRIEL	1
Punica_granatum	DEL/TEKAY	1
Santalum_album	BIANCA	1
Fagopyrum_tataricum	IKEROS	1
Boehmeria_nivea	ORYCO/IVANA	1
Selaginella_tamariscina	DEL/TEKAY	1
Selaginella_tamariscina	TORK/TAR	1
Marchantia_polymorpha	ATHILA	1
Marchantia_polymorpha	ORYCO/IVANA	1
Marchantia_polymorpha	BIANCA	1
Pterocarya_stenoptera	SIRE	1
Datisca_glomerata	ANGELA	1
Datisca_glomerata	SIRE	1
Argania_spinosa	ANGELA	1
Fagus_sylvatica	ANGELA	1
Platycodon_grandiflorus	GALADRIEL	1
Caryocar_brasiliense	ORYCO/IVANA	1
Trichopus_zeylanicus_subsp_travancoricus	ORYCO/IVANA	1
Rosa_lucieae	ATHILA	1
Persea_americana_var_drymifolia	ATHILA	1
Striga_asiatica	IKEROS	1
Toxicodendron_radicans	SIRE	1
Toxicodendron_radicans	CRM	1
Ulmus_americana	TAT	1
Vitis_labrusca	DEL/TEKAY	1
Ceratopteris_richardii	DEL/TEKAY	1
Ceratopteris_richardii	ALE/RETROFIT	1
Isoetes_engelmannii	ATHILA	1
Isoetes_engelmannii	TORK/TAR	1
Solanum_clarkiae	CRM	1
Solanum_clarkiae	TAT	1
Boswellia_sacra	CRM	1
Boswellia_sacra	TAT	1
Boswellia_sacra	DEL/TEKAY	1
Hydrangea_macrophylla	GALADRIEL	1
Dioscorea_zingiberensis	SIRE	1
Dioscorea_zingiberensis	ANGELA	1
Dioscorea_zingiberensis	BIANCA	1
Avicennia_marina_subsp_marina	TAT	1
Avicennia_marina_subsp_marina	GALADRIEL	1
Sonneratia_caseolaris	ORYCO/IVANA	1
Sonneratia_caseolaris	DEL/TEKAY	1
Betula_pendula	ANGELA	1
Simmondsia_chinensis	TORK/TAR	1
Microtea_debilis	CRM	1
Pharnaceum_exiguum	TAT	1
Corrigiola_litoralis	CRM	1
Corrigiola_litoralis	TORK/TAR	1
Corrigiola_litoralis	ORYCO/IVANA	1
Nymphaea_colorata	ANGELA	1
Fraxinus_sp_1973_6204	IKEROS	1
Brassica_napus	IKEROS	1
Primula_veris	TAT	1
Humulus_lupulus_var_lupulus	ANGELA	1
Dorcoceras_hygrometricum	CRM	1
Dorcoceras_hygrometricum	BIANCA	1
Carthamus_tinctorius	TAT	1
Mentha_longifolia	REINA	1
Pontederia_paniculata	GALADRIEL	1
Pontederia_paniculata	DEL/TEKAY	1
Pontederia_paniculata	CRM	1
Chenopodium_pallidicaule	BIANCA	1
Rhazya_stricta	CRM	1
