species	lineage	count
Arabidopsis_lyrata_subsp_lyrata	ALE/RETROFIT	90
Striga_asiatica	TORK/TAR	90
Oenanthe_javanica	TAT	89
Citrus_clementina	ATHILA	89
Panicum_virgatum	TAT	89
Arabidopsis_thaliana	ALE/RETROFIT	88
Handroanthus_impetiginosus	ALE/RETROFIT	86
Datisca_glomerata	ALE/RETROFIT	86
Oenanthe_javanica	ORYCO/IVANA	86
Lotus_japonicus	REINA	85
Sorghum_bicolor	ATHILA	84
Brachypodium_distachyon	ORYCO/IVANA	84
Eucalyptus_grandis	SIRE	84
Olea_europaea	ALE/RETROFIT	84
Dioscorea_zingiberensis	TORK/TAR	83
Zea_mays	CRM	82
Begonia_fuchsioides	CRM	82
Gossypium_hirsutum	CRM	82
Malus_domestica	TORK/TAR	81
Ipomoea_nil	SIRE	81
Malus_domestica	TAT	80
Triticum_aestivum	TORK/TAR	80
Cephalotus_follicularis	ATHILA	80
Dioscorea_zingiberensis	REINA	79
Betula_pendula	ALE/RETROFIT	79
Ipomoea_nil	DEL/TEKAY	79
Coffea_canephora	TORK/TAR	79
Coffea_canephora	ATHILA	79
Coffea_canephora	DEL/TEKAY	79
Nicotiana_sylvestris	ATHILA	78
Theobroma_cacao	DEL/TEKAY	77
Macleaya_cordata	BIANCA	77
Citrus_sinensis	TORK/TAR	77
Solanum_lycopersicum	TORK/TAR	76
Sorghum_bicolor	TORK/TAR	76
Brassica_rapa	REINA	76
Setaria_italica	ALE/RETROFIT	76
Nelumbo_nucifera	REINA	75
Punica_granatum	ALE/RETROFIT	75
Eschscholzia_californica_subsp_californica	TORK/TAR	75
Lindernia_brevidens	SIRE	75
Rosa_lucieae	ALE/RETROFIT	75
Persea_americana_var_drymifolia	ALE/RETROFIT	75
Brachypodium_distachyon	ALE/RETROFIT	74
Brassica_rapa	TORK/TAR	74
Nymphaea_colorata	TORK/TAR	74
Solanum_lycopersicum	ATHILA	74
Kalanchoe_fedtschenkoi	ALE/RETROFIT	73
Oenanthe_javanica	ALE/RETROFIT	73
Dorcoceras_hygrometricum	REINA	73
Benincasa_hispida	TORK/TAR	72
Hevea_brasiliensis	ANGELA	72
Eutrema_salsugineum	CRM	72
Coffea_canephora	REINA	72
Aquilaria_sinensis	ALE/RETROFIT	71
Dioscorea_zingiberensis	DEL/TEKAY	71
Citrus_clementina	TAT	71
Elaeis_oleifera	TAT	71
Phyllostachys_edulis	ALE/RETROFIT	71
Fagopyrum_tataricum	ALE/RETROFIT	70
Camellia_sinensis_var_sinensis	SIRE	70
Beta_vulgaris	REINA	70
Lycopersicon_esculentum	TORK/TAR	70
Brachypodium_distachyon	REINA	69
Hordeum_vulgare	DEL/TEKAY	68
Oryza_meyeriana_var_granulata	CRM	68
Dorcoceras_hygrometricum	ANGELA	67
Actinidia_deliciosa	TAT	67
Theobroma_cacao	ORYCO/IVANA	66
Musa_schizocarpa	REINA	66
Sorghum_bicolor	SIRE	65
Aquilaria_sinensis	DEL/TEKAY	65
Dioscorea_zingiberensis	ORYCO/IVANA	65
Medicago_truncatula	ALE/RETROFIT	64
Cicer_arietinum	ALE/RETROFIT	64
Hevea_brasiliensis	ALE/RETROFIT	64
Nicotiana_sylvestris	ALE/RETROFIT	64
Arabidopsis_thaliana	ATHILA	63
Platycodon_grandiflorus	TAT	63
Oryza_meyeriana_var_granulata	ORYCO/IVANA	63
Vitis_labrusca	TORK/TAR	63
Betula_pendula	TORK/TAR	63
Musa_schizocarpa	ANGELA	63
Ipomoea_nil	REINA	63
Oryza_sativa	ORYCO/IVANA	62
Zostera_marina	TAT	62
Dorcoceras_hygrometricum	TORK/TAR	62
Arabidopsis_lyrata_subsp_lyrata	TAT	61
Arabidopsis_lyrata_subsp_lyrata	ORYCO/IVANA	60
Picea_abies	TAT	60
Picea_abies	DEL/TEKAY	60
Triticum_aestivum	ORYCO/IVANA	60
Chenopodium_pallidicaule	ALE/RETROFIT	60
Sorghum_bicolor	CRM	59
Oryza_meyeriana_var_granulata	ALE/RETROFIT	59
Beta_vulgaris	TORK/TAR	59
Nicotiana_sylvestris	SIRE	59
Lotus_japonicus	ALE/RETROFIT	58
Brachypodium_distachyon	DEL/TEKAY	58
Fagopyrum_tataricum	TORK/TAR	58
Benincasa_hispida	ANGELA	58
Hypericum_perforatum	CRM	58
Manihot_esculenta	ALE/RETROFIT	58
Citrus_clementina	ALE/RETROFIT	58
Olea_europaea	ATHILA	58
Theobroma_cacao	SIRE	57
Macleaya_cordata	ALE/RETROFIT	57
Fagopyrum_tataricum	CRM	57
Brassica_napus	TAT	57
Capsicum_annuum	ALE/RETROFIT	57
Olea_europaea	DEL/TEKAY	57
Zea_mays	ORYCO/IVANA	56
Medicago_truncatula	DEL/TEKAY	55
Striga_asiatica	DEL/TEKAY	55
Populus_trychocarpa	ALE/RETROFIT	55
Eutrema_salsugineum	ATHILA	55
Eutrema_salsugineum	TORK/TAR	55
Brachypodium_distachyon	TORK/TAR	54
Camellia_sinensis_var_sinensis	ORYCO/IVANA	54
Striga_asiatica	ATHILA	54
Solanum_lycopersicum	SIRE	54
Tarenaya_hassleriana	TORK/TAR	54
Boehmeria_nivea	ALE/RETROFIT	53
Cannabis_Sativa	ANGELA	53
Eucalyptus_pauciflora	TAT	52
Musa_schizocarpa	SIRE	52
Actinidia_deliciosa	TORK/TAR	52
Carica_papaya	ALE/RETROFIT	51
Morus_notabilis	ALE/RETROFIT	51
Arabidopsis_lyrata_subsp_lyrata	BIANCA	51
Pontederia_paniculata	ALE/RETROFIT	51
Fraxinus_excelsior	TAT	51
Arabidopsis_thaliana	TORK/TAR	50
Vitis_vinifera	ORYCO/IVANA	50
Arachis_ipaensis	SIRE	50
Macleaya_cordata	TORK/TAR	50
Platycodon_grandiflorus	DEL/TEKAY	50
Eucalyptus_pauciflora	SIRE	50
Simmondsia_chinensis	REINA	50
Coffea_canephora	CRM	50
Linum_usitatissimum	ALE/RETROFIT	49
Casuarina_equisetifolia_subsp_incana	REINA	49
Boswellia_sacra	ALE/RETROFIT	49
Zostera_marina	REINA	49
Pterocarya_stenoptera	TORK/TAR	48
Cajanus_cajan	REINA	48
Hordeum_vulgare	ATHILA	47
Platycodon_grandiflorus	TORK/TAR	47
Rosa_lucieae	TORK/TAR	47
Cannabis_Sativa	ATHILA	47
Solanum_tuberosum	ATHILA	46
Ricinus_communis	ORYCO/IVANA	46
Cicer_arietinum	TORK/TAR	46
Boehmeria_nivea	REINA	46
Vitis_labrusca	TAT	46
Olea_europaea	REINA	46
Malus_domestica	BIANCA	45
Arachis_ipaensis	TORK/TAR	45
Setaria_italica	DEL/TEKAY	45
Eucalyptus_pauciflora	DEL/TEKAY	45
Hypericum_perforatum	REINA	45
Hypericum_perforatum	TORK/TAR	45
Macarthuria_australis	ALE/RETROFIT	45
Manihot_esculenta	DEL/TEKAY	45
Phalaenopsis_equestris	TORK/TAR	45
Cajanus_cajan	DEL/TEKAY	45
Lycopersicon_esculentum	SIRE	45
Malus_domestica	REINA	44
Trichopus_zeylanicus_subsp_travancoricus	TORK/TAR	44
Oryza_meyeriana_var_granulata	TORK/TAR	44
Coffea_canephora	SIRE	44
Panicum_virgatum	REINA	44
Cajanus_cajan	CRM	44
Ricinus_communis	ATHILA	43
Amborella_trichopoda	TORK/TAR	43
Rosa_lucieae	REINA	43
Solanum_lycopersicum	ORYCO/IVANA	43
Solanum_melongena	ALE/RETROFIT	43
Cajanus_cajan	ALE/RETROFIT	43
Solanum_tuberosum	ORYCO/IVANA	42
Setaria_italica	REINA	42
Handroanthus_impetiginosus	DEL/TEKAY	42
Musa_acuminata	REINA	42
Lotus_japonicus	SIRE	42
Solanum_lycopersicum	TAT	42
Arabidopsis_thaliana	ORYCO/IVANA	41
Sorghum_bicolor	BIANCA	41
Prunus_persica	TORK/TAR	41
Fragaria_vesca	ALE/RETROFIT	41
Arabis_alpina	ALE/RETROFIT	41
Musa_schizocarpa	TAT	41
Humulus_lupulus_var_lupulus	REINA	41
Chenopodium_pallidicaule	ATHILA	41
Citrus_clementina	SIRE	41
Beta_vulgaris	DEL/TEKAY	41
Solanum_melongena	DEL/TEKAY	41
Hordeum_vulgare	ORYCO/IVANA	40
Ricinus_communis	CRM	40
Xerophyta_viscosa	TAT	40
Casuarina_equisetifolia_subsp_incana	TORK/TAR	40
Oryza_meyeriana_var_granulata	DEL/TEKAY	40
Hydrangea_macrophylla	CRM	40
Kewa_caespitosa	ALE/RETROFIT	40
Brassica_napus	ATHILA	40
Humulus_lupulus_var_lupulus	TAT	40
Citrus_sinensis	ALE/RETROFIT	40
Nicotiana_sylvestris	TORK/TAR	40
Prunus_avium	ALE/RETROFIT	40
Panicum_virgatum	ALE/RETROFIT	40
Lycopersicon_esculentum	TAT	40
Medicago_truncatula	TORK/TAR	39
Glycine_max	DEL/TEKAY	39
Lindernia_brevidens	TORK/TAR	39
Aquilaria_sinensis	ORYCO/IVANA	39
Betula_pendula	TAT	39
Phaseolus_vulgaris	CRM	39
Linum_usitatissimum	ORYCO/IVANA	38
Cephalotus_follicularis	BIANCA	38
Striga_asiatica	REINA	38
Lycopersicon_esculentum	ATHILA	38
Pyrus_x_bretschneideri	ALE/RETROFIT	37
Phalaenopsis_hybrid_cultivar	TORK/TAR	37
Benincasa_hispida	REINA	37
Betula_pendula	REINA	37
Fraxinus_sp_1973_6204	REINA	37
Humulus_lupulus_var_lupulus	TORK/TAR	37
Beta_vulgaris	CRM	37
Lotus_japonicus	TORK/TAR	37
Oryza_sativa	SIRE	36
Populus_trichocarpa	ALE/RETROFIT	36
Solanum_tuberosum	REINA	36
Argania_spinosa	TAT	36
Lindernia_brevidens	ORYCO/IVANA	36
Hydrangea_macrophylla	BIANCA	36
Dorcoceras_hygrometricum	ALE/RETROFIT	36
Eucalyptus_grandis	DEL/TEKAY	36
Solanum_lycopersicum	REINA	36
Medicago_truncatula	ORYCO/IVANA	35
Phalaenopsis_hybrid_cultivar	ALE/RETROFIT	35
Begonia_fuchsioides	TORK/TAR	35
Populus_trychocarpa	ORYCO/IVANA	35
Hevea_brasiliensis	ATHILA	35
Capsicum_annuum	TORK/TAR	35
Vitis_vinifera	REINA	34
Olea_europaea	ORYCO/IVANA	34
Tarenaya_hassleriana	ALE/RETROFIT	34
Lotus_japonicus	ORYCO/IVANA	34
Amborella_trichopoda	TAT	33
Prunus_persica	BIANCA	33
Setaria_italica	ORYCO/IVANA	33
Handroanthus_impetiginosus	TORK/TAR	33
Argania_spinosa	TORK/TAR	33
Musa_schizocarpa	TORK/TAR	33
Corrigiola_litoralis	ALE/RETROFIT	33
Cannabis_Sativa	SIRE	33
Mimulus_guttatus	SIRE	33
Eragrostis_tef	ALE/RETROFIT	33
Fragaria_vesca	TAT	32
Setaria_italica	TORK/TAR	32
Fraxinus_sp_1973_6204	ORYCO/IVANA	32
Gossypium_hirsutum	REINA	32
Eutrema_salsugineum	REINA	32
Phalaenopsis_equestris	ALE/RETROFIT	32
Fraxinus_excelsior	ORYCO/IVANA	32
Cajanus_cajan	ORYCO/IVANA	32
Amborella_trichopoda	ALE/RETROFIT	31
Hordeum_vulgare	TORK/TAR	31
Fagus_sylvatica	TORK/TAR	31
Oryza_meyeriana_var_granulata	REINA	31
Oryza_meyeriana_var_granulata	SIRE	31
Gossypium_hirsutum	BIANCA	31
Musa_acuminata	TORK/TAR	31
Coffea_canephora	ALE/RETROFIT	31
Mimulus_guttatus	TORK/TAR	31
Arachis_ipaensis	BIANCA	31
Eutrema_salsugineum	ORYCO/IVANA	31
Phyllostachys_edulis	ORYCO/IVANA	31
Lotus_japonicus	DEL/TEKAY	31
Populus_trichocarpa	ORYCO/IVANA	30
Malus_domestica	DEL/TEKAY	30
Morus_notabilis	REINA	30
Cicer_arietinum	ORYCO/IVANA	30
Xerophyta_viscosa	ALE/RETROFIT	30
Boehmeria_nivea	TAT	30
Striga_asiatica	ANGELA	30
Hydrangea_macrophylla	ORYCO/IVANA	30
Ipomoea_nil	ATHILA	30
Capsicum_annuum	ATHILA	30
Populus_trychocarpa	REINA	30
Brachypodium_distachyon	CRM	29
Picea_abies	ATHILA	29
Arachis_ipaensis	DEL/TEKAY	29
Handroanthus_impetiginosus	ORYCO/IVANA	29
Boehmeria_nivea	TORK/TAR	29
Oenanthe_javanica	REINA	29
Benincasa_hispida	DEL/TEKAY	29
Primula_veris	ALE/RETROFIT	29
Dorcoceras_hygrometricum	TAT	29
Mimulus_guttatus	ANGELA	29
Sisymbrium_irio	ALE/RETROFIT	29
Elaeis_oleifera	ALE/RETROFIT	29
Phyllostachys_edulis	BIANCA	29
Panicum_virgatum	TORK/TAR	29
Lycopersicon_esculentum	ORYCO/IVANA	29
Solanum_lycopersicum	GALADRIEL	28
Medicago_truncatula	REINA	28
Zea_mays	BIANCA	28
Jatropha_curcas	ALE/RETROFIT	28
Ricinus_communis	TORK/TAR	28
Begonia_fuchsioides	REINA	28
Lindernia_brevidens	DEL/TEKAY	28
Prunus_avium	ORYCO/IVANA	28
Glycine_max	IKEROS	28
Elaeis_oleifera	TORK/TAR	28
Actinidia_deliciosa	DEL/TEKAY	28
Cajanus_cajan	TORK/TAR	28
Vitis_vinifera	BIANCA	27
Brachypodium_distachyon	BIANCA	27
Theobroma_cacao	ALE/RETROFIT	27
Cephalotus_follicularis	ORYCO/IVANA	27
Persea_americana_var_drymifolia	TORK/TAR	27
Vitis_labrusca	ATHILA	27
Hydrangea_macrophylla	REINA	27
Ipomoea_nil	CRM	27
Capsicum_annuum	REINA	27
Carica_papaya	DEL/TEKAY	26
Selaginella_moellendorffii	GALADRIEL	26
Prunus_persica	ATHILA	26
Arabis_alpina	TORK/TAR	26
Xerophyta_viscosa	REINA	26
Argania_spinosa	ATHILA	26
Eucalyptus_pauciflora	BIANCA	26
Phyllostachys_edulis	DEL/TEKAY	26
Mimulus_guttatus	REINA	26
Populus_trichocarpa	REINA	25
Malus_domestica	ATHILA	25
Solanum_tuberosum	SIRE	25
Fragaria_vesca	TORK/TAR	25
Mimulus_guttatus	ALE/RETROFIT	25
Ananas_comosus	DEL/TEKAY	25
Olea_europaea	SIRE	25
Arabidopsis_thaliana	REINA	24
Hordeum_vulgare	ALE/RETROFIT	24
